original_column_name,recommended_standardized_name,observed_storage_type,business_definition,example_values,missing_percentage,unique_values,expected_analytical_role,potential_quality_problem,contains_sensitive_information,potential_model_leakage,status
bedrooms,bedrooms,string,Advertised bedroom count or category,3 | 2 | 4,0.088,9,feature/measure,Mixed numeric and textual values require parsing rules,No,Low,Proposed only — no rename or transformation applied
bathrooms,bathrooms,string,Advertised bathroom count or category,6 | 2 | 4,0.096,8,feature/measure,Mixed numeric and textual values require parsing rules,No,Low,Proposed only — no rename or transformation applied
area_value,area_sqm,float,Advertised property area,445.0 | 123.0 | 250.0,0.003,734,feature/measure,"Requires validation for zero, impossible, bulk, and land values",No,Low,Proposed only — no rename or transformation applied
area_unit,area_unit,string,Unit used for area,sqm,0.0,1,validation/dimension,Constant sqm in current file; retain for audit,No,Low,Proposed only — no rename or transformation applied
furnished,furnished_status,string,Furnishing status,PARTLY | YES | NO,21.114,3,feature/dimension,Substantial missingness; values may be boolean or category-like,No,Low,Proposed only — no rename or transformation applied
listing_level,listing_level,string,Source-defined listing prominence or quality level,premium | featured | standard,0.003,3,feature/audit,Business meaning is source-specific and may change over time,No,Medium,Proposed only — no rename or transformation applied
is_premium,is_premium,boolean,Whether listing has premium promotion,True | False,0.0,2,feature/audit,May reflect advertiser spend rather than property value,No,Medium,Proposed only — no rename or transformation applied
is_verified,is_verified,boolean,Whether source marks listing as verified,False,0.0,1,feature/audit,"Constant false, possibly a scraper limitation",No,Medium,Proposed only — no rename or transformation applied
is_featured,is_featured,boolean,Whether listing is featured,False | True,0.0,2,feature/audit,May reflect paid placement rather than intrinsic property value,No,Medium,Proposed only — no rename or transformation applied
is_new_construction,is_new_construction,boolean,Whether source flags new construction,False,0.0,1,feature/audit,"Constant false, likely unreliable or extraction-limited",No,Medium,Proposed only — no rename or transformation applied
is_direct_from_dev,is_direct_from_developer,boolean,Whether listing is directly from a developer,False,0.0,1,feature/audit,"Constant false, likely unreliable or extraction-limited",No,Medium,Proposed only — no rename or transformation applied
is_exclusive,is_exclusive,boolean,Whether listing is exclusive,False,0.0,1,feature/audit,"Constant false, likely unreliable or extraction-limited",No,Medium,Proposed only — no rename or transformation applied
listed_date,listed_at,string,Date and time listing was published or updated,2026-03-03T19:15:06Z | 2026-03-04T11:24:23Z | 2026-03-04T14:03:51Z,0.003,36255,feature/time,Meaning may be first publication or latest refresh; stale/repost behavior possible,No,Medium,Proposed only — no rename or transformation applied
images_count,image_count,integer,Number of listing images,6 | 10 | 13,0.0,31,feature/quality,May proxy listing effort rather than property value,No,Medium,Proposed only — no rename or transformation applied
has_view_360,has_360_view,boolean,Whether a 360-degree view is available,False | True,0.0,2,feature/quality,Rare value and possibly source-specific,No,Medium,Proposed only — no rename or transformation applied
video_url,video_url,string,URL for listing video,https://youtu.be/WIOiUBBn7Mg?si=hUaZo-XkXrkRMt2q | https://youtu.be/GTt0ER9xiVc?si=2j4uBTdo1Jn1vvsL | https://youtu.be/3dR0kAP7Tak?si=hg-1YULqPNSA2szT,99.491,154,feature/audit,Almost entirely missing; URL content not inspected,No,Medium,Proposed only — no rename or transformation applied
reference,advertiser_reference,string,Advertiser or broker reference code,F7QB31CGWE509V2W7DF2GARB2C | rb304 | 250pncash,0.005,39644,identifier/audit,May identify duplicate or related listings; format is inconsistent,No,High,Proposed only — no rename or transformation applied
rera,rera_reference,string,Real-estate regulatory reference,,100.0,0,identifier/audit,Completely empty in current file,Potentially,High,Proposed only — no rename or transformation applied
description,listing_description,string,Free-text property description,"Garden Villa for Sale – Featured in Lake View Boutique – Fifth Settlement Prime Location Direct View ------------------------------------------------ Garden Villa Area: 445 sqm Garden Area: 130 sqm 3 Master Bedrooms Living Room 4 Bathrooms Nanny Room with Private Bathroom Drive Room with Private Bathroom Features: Parking Practical Design and Excellent Spaces Asking Price: EGP 24,500,000 ==================================== Lake View Boutique Project Features Elegant architectural design with a boutique style, providing high privacy and low population density Extensive green spaces and integrated landscaping create a sense of tranquility and comfort Artificial lakes and water features add a distinctive aesthetic to the project Various swimming pools suitable for all ages Complete health club including gym and spa Designated walking and jogging areas amidst open spaces Safe and recreational areas for children Security and guard services 24-hour security with advanced surveillance systems Underground parking to reduce congestion and maintain aesthetic appeal An integrated residential community combining privacy, luxury, and a high quality of life | For Sale: Finished Apartment with ACs in Village West Compound Area: 123 m 2 Bedrooms 2 Bathrooms Reception Terrace Landscape View Prime Location near all main roads 24-hour Security Clubhouse Jogging and Cycling Tracks Barbecue Area Kids Area ______________________ Price: 7,000,000 D.P: 5.145.000 Installments: 1.855.000 ______________________ For more details: 01007169666 Rana Amer | Palm Hills New Cairo Apartment BUA: 250sqm 4 Bedrooms + Living + Nanny 4 Bathrooms Ready to move Core and shell Downpayment: 10,800,000 Remainings: 1,150,000 Buyer Commission: 1.5% --------------------------------------------------------------------------------------------------------------------------------",0.003,35312,text/feature,"May expose target price, installment terms, contacts, and duplicates",Potentially,High,Proposed only — no rename or transformation applied
amenities,amenities_text,string,Amenities or feature list supplied by source,Balcony | Built in Wardrobes | Covered Parking | Maids Room | Private Garden | Private Pool | Shared Pool | Study | View of Water | Security | View of Landmark | Walk-in Closet | Shared Gym | Shared Spa | Children's Pool | Lobby in Building | Balcony | Built in Wardrobes | Central A/C | Covered Parking | Shared Pool | Security | Shared Spa | Shared Gym | View of Landmark | Lobby in Building | Children's Pool | Balcony | Built in Wardrobes | Central A/C | Covered Parking | Kitchen Appliances | Maids Room | Private Garden | Private Pool | Shared Pool | Study | View of Water | Security | Shared Spa | Shared Gym | Walk-in Closet | View of Landmark | Lobby in Building | Children's Pool,0.083,17995,text/feature,Likely semi-structured; parsing and category normalization needed,No,Medium,Proposed only — no rename or transformation applied
payment_method,payment_method,string,Advertised payment method,cash | cash | installments | installments,49.792,3,feature/dimension,About half missing and likely linked to sale/rent scope,No,Low,Proposed only — no rename or transformation applied
agent_id,agent_id,float,Source identifier for listing agent,58866.0 | 67166.0 | 47158.0,0.003,3400,identifier/audit,May cause memorization and broker-specific bias,Yes,High,Proposed only — no rename or transformation applied
agent_name,agent_name,string,Name of listing agent,pierre osama | Rana Bahaa ElDeen | Ashraf Shaaban,0.02,2652,audit/contact,Personal information; spelling and entity resolution issues possible,Yes,High,Proposed only — no rename or transformation applied
agent_email,agent_email,string,Agent email address,pierre.Osama@spade-consultancy.com | ranoushamer901@gmail.com | ashrafsobhy99@hotmail.com,0.003,2732,audit/contact,Personal contact information; should not be used for modeling,Yes,High,Proposed only — no rename or transformation applied
agent_is_super,agent_is_super,boolean,Source-defined agent status,False,0.0,1,audit/feature,Constant false and business meaning unclear,No,Medium,Proposed only — no rename or transformation applied
agent_languages,agent_languages,string,Languages listed for the agent,English | Arabic | English | Arabic | Turkish | Arabic,76.904,30,audit/feature,High missingness; unrelated to intrinsic property value,Potentially,Medium,Proposed only — no rename or transformation applied
broker_id,broker_id,float,Source identifier for broker or agency,5758.0 | 492.0 | 5279.0,0.003,1074,identifier/audit,May cause entity memorization and market-channel bias,Yes,High,Proposed only — no rename or transformation applied
broker_name,broker_name,string,Brokerage or agency name,Spade consultancy | Abrag Real Estate | Premises,0.003,776,audit/entity,May be useful for duplicate analysis but risky as predictive feature,Potentially,High,Proposed only — no rename or transformation applied
broker_email,broker_email,string,Broker contact email,mohmedg.sedik@gmail.com | snawara71@gmail.com | mahmouddessam@hotmail.com,0.511,770,audit/contact,Sensitive business contact information; should not be used for modeling,Yes,High,Proposed only — no rename or transformation applied
broker_phone,broker_phone,float,Broker contact telephone number,1001436511.0 | 201001188088.0 | 201005133389.0,0.511,1063,audit/contact,Sensitive and stored numeric-like; formatting may be corrupted,Yes,High,Proposed only — no rename or transformation applied
contact_phone,contact_phone,float,Primary listing contact telephone number,201201801443.0 | 201007169666.0 | 201090963241.0,0.003,3061,audit/contact,Sensitive and stored numeric-like; useful only for duplicate audit,Yes,High,Proposed only — no rename or transformation applied
contact_whatsapp,contact_whatsapp,float,WhatsApp contact number,20221257340.0 | 201018976709.0 | 201200100885.0,0.003,540,audit/contact,Sensitive and stored numeric-like; useful only for duplicate audit,Yes,High,Proposed only — no rename or transformation applied
contact_email,contact_email,string,Primary listing contact email,pierre.Osama@spade-consultancy.com | ranoushamer901@gmail.com | ashrafsobhy99@hotmail.com,0.003,2732,audit/contact,Sensitive contact information; useful only for duplicate audit,Yes,High,Proposed only — no rename or transformation applied
scraped_at,scraped_at,string,Timestamp when the record was collected,2026-03-04T14:20:33.281007 | 2026-03-04T14:20:33.282527 | 2026-03-04T14:20:33.282719,0.0,4736,audit/time,"Represents collection time, not market event time",No,Low,Proposed only — no rename or transformation applied
